Vo (m/s),d (m),Hv (Pa),υ,E (Pa),  σy (P),ρ (kg/m3), KIC(Pa.m1/2),C (m/s),No (Minutes)
350,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,1.75
325,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,4.5
300,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,10
275,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,25
250,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,55
230,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,99
220,0.000463,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,141
300,0.000603,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,4.25
275,0.000603,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,10
250,0.000603,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,23
225,0.000603,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,60
215,0.000603,3531,0.28,1.95E+11,1177000000,7750,90000000,5006,90
350,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,1.2
325,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,2.75
300,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,5.75
275,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,15
250,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,37
230,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,78
225,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,88
220,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,99
210,0.000463,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,139
300,0.000603,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,2.5
275,0.000603,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,5.75
250,0.000603,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,15
225,0.000603,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,36
200,0.000603,3316,0.32,1.14E+11,1105000000,4430,65000000,5072,73
300,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,1.1
275,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,2.5
250,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,4.75
225,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,11
200,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,28
175,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,73
155,0.000463,1834,0.33,71700000000,702000000,2810,35000000,5026,160
250,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,2.5
225,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,5
220,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,6
200,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,13
175,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,31
150,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,81
140,0.000603,1834,0.33,71700000000,702000000,2810,35000000,5026,99
300,0.000603,2942,0.29,2.10E+11,980000000,7810,40000000,5100,1.5
250,0.000603,2942,0.29,2.10E+11,980000000,7810,40000000,5100,14
225,0.000603,2942,0.29,2.10E+11,980000000,7810,40000000,5100,41
200,0.000603,2942,0.29,2.10E+11,980000000,7810,40000000,5100,102
200,0.000463,2942,0.29,2.10E+11,980000000,7810,40000000,5100,227
300,0.000463,2942,0.29,2.10E+11,980000000,7810,40000000,5100,9
350,0.000463,2942,0.29,2.10E+11,980000000,7810,40000000,5100,2.2
300,0.000463,1422,0.33,73100000000,543000000,2780,30000000,5088,1
250,0.000463,1422,0.33,73100000000,543000000,2780,30000000,5088,3
200,0.000463,1422,0.33,73100000000,543000000,2780,30000000,5088,15
185,0.000463,1422,0.33,73100000000,543000000,2780,30000000,5088,34
150,0.000463,1422,0.33,73100000000,543000000,2780,30000000,5088,98
250,0.000603,1422,0.33,73100000000,543000000,2780,30000000,5088,2
200,0.000603,1422,0.33,73100000000,543000000,2780,30000000,5088,9
175,0.000603,1422,0.33,73100000000,543000000,2780,30000000,5088,19
150,0.000603,1422,0.33,73100000000,543000000,2780,30000000,5088,52
